Query_ID,Student_Query,Department,Days_To_Deadline,Priority_Label
1783,How to join student clubs?,Examination Cell,31,Low
3918,My admit card has incorrect details.,Examination Cell,48,High
222,How to reset my university portal password?,Finance Office,5,Medium
2136,My exam form is not submitted and tomorrow is the last date.,Academic Office,18,High
5225,I cannot download my hall ticket for tomorrow's exam.,Administration,43,High
1169,How to reset my university portal password?,IT Support,5,Medium
880,Please share syllabus for Data Science course.,Examination Cell,42,Low
157,Request for internship approval letter.,Administration,26,Medium
1658,LMS is not allowing assignment upload.,IT Support,18,Medium
324,When will the library issue new ID cards?,IT Support,3,Low
5303,What is the hostel application procedure?,Examination Cell,33,Low
2612,Please share syllabus for Data Science course.,Library,48,Low
812,What are university working hours?,IT Support,37,Low
394,I want to change my elective subject.,Administration,14,Medium
3594,My admit card has incorrect details.,Academic Office,3,High
2639,I have not received my scholarship amount.,Finance Office,8,High
2188,LMS is not allowing assignment upload.,Hostel Office,35,Medium
5352,What are university working hours?,Finance Office,16,Low
320,I want to change my elective subject.,Hostel Office,14,Medium
168,When will the library issue new ID cards?,Administration,13,Low
747,How to join student clubs?,Academic Office,22,Low
5471,Please share syllabus for Data Science course.,Hostel Office,11,Low
3708,How to reset my university portal password?,Hostel Office,19,Medium
2765,What is the hostel application procedure?,Library,43,Low
5113,Please share syllabus for Data Science course.,IT Support,46,Low
4007,How to reset my university portal password?,Administration,16,Medium
1872,I need a bonafide certificate.,Finance Office,18,Medium
5757,What is the hostel application procedure?,Academic Office,25,Low
3194,I need a bonafide certificate.,Academic Office,2,Medium
3755,How to join student clubs?,Academic Office,50,Low
5626,Please share syllabus for Data Science course.,IT Support,28,Low
4895,What is the hostel application procedure?,Academic Office,54,Low
4103,I want to change my elective subject.,Academic Office,58,Medium
1262,I need a bonafide certificate.,Academic Office,12,Medium
2339,My exam form is not submitted and tomorrow is the last date.,Examination Cell,9,High
85,What are university working hours?,Hostel Office,40,Low
3822,Please share syllabus for Data Science course.,Finance Office,55,Low
2654,My admit card has incorrect details.,Hostel Office,20,High
5546,I have not received my scholarship amount.,Hostel Office,18,High
2747,I have not received my scholarship amount.,Examination Cell,6,High
2859,What are university working hours?,Examination Cell,45,Low
997,Fee payment deadline is today but portal is not working.,Hostel Office,5,High
229,Fee payment deadline is today but portal is not working.,IT Support,58,High
3265,How to join student clubs?,Finance Office,53,Low
4829,Request for internship approval letter.,Academic Office,44,Medium
3943,What are university working hours?,Administration,7,Low
5460,How to reset my university portal password?,Finance Office,10,Medium
3833,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,41,High
1653,I cannot download my hall ticket for tomorrow's exam.,Academic Office,32,High
80,Please share syllabus for Data Science course.,IT Support,24,Low
965,I cannot download my hall ticket for tomorrow's exam.,IT Support,49,High
927,How to join student clubs?,Academic Office,13,Low
795,Fee payment deadline is today but portal is not working.,Library,33,High
3380,When will the library issue new ID cards?,Examination Cell,26,Low
3165,LMS is not allowing assignment upload.,Academic Office,14,Medium
4658,My exam form is not submitted and tomorrow is the last date.,Administration,2,High
3312,How to join student clubs?,Library,16,Low
3935,Fee payment deadline is today but portal is not working.,Finance Office,24,High
1075,Please share syllabus for Data Science course.,Examination Cell,37,Low
4841,How to join student clubs?,Hostel Office,15,Low
4184,I have not received my scholarship amount.,Administration,46,High
2025,I cannot download my hall ticket for tomorrow's exam.,Administration,13,High
5678,LMS is not allowing assignment upload.,Finance Office,60,Medium
4635,I want to change my elective subject.,Administration,32,Medium
1746,My admit card has incorrect details.,Administration,3,High
3144,Request for internship approval letter.,Hostel Office,47,Medium
3264,My admit card has incorrect details.,Finance Office,46,High
3122,What are university working hours?,Academic Office,8,Low
1452,What is the hostel application procedure?,Administration,41,Low
440,Request for internship approval letter.,IT Support,55,Medium
3317,How to join student clubs?,Administration,46,Low
4544,Fee payment deadline is today but portal is not working.,IT Support,28,High
2982,How to join student clubs?,Examination Cell,35,Low
2081,How to reset my university portal password?,Academic Office,2,Medium
4021,I cannot download my hall ticket for tomorrow's exam.,Library,46,High
1455,I cannot download my hall ticket for tomorrow's exam.,Finance Office,26,High
255,What is the hostel application procedure?,Hostel Office,55,Low
466,LMS is not allowing assignment upload.,Finance Office,15,Medium
2118,How to reset my university portal password?,IT Support,35,Medium
507,Please share syllabus for Data Science course.,IT Support,3,Low
4272,How to reset my university portal password?,Hostel Office,51,Medium
4289,I want to change my elective subject.,Academic Office,35,Medium
4214,LMS is not allowing assignment upload.,Administration,29,Medium
234,I need a bonafide certificate.,Finance Office,37,Medium
554,Please share syllabus for Data Science course.,Library,39,Low
5315,I have not received my scholarship amount.,Examination Cell,24,High
545,What are university working hours?,Examination Cell,7,Low
3701,My exam form is not submitted and tomorrow is the last date.,Hostel Office,43,High
3541,I cannot download my hall ticket for tomorrow's exam.,Examination Cell,33,High
2789,When will the library issue new ID cards?,IT Support,36,Low
2865,My admit card has incorrect details.,Academic Office,6,High
2084,My exam form is not submitted and tomorrow is the last date.,Examination Cell,47,High
5543,I need a bonafide certificate.,Library,42,Medium
309,I have not received my scholarship amount.,Examination Cell,41,High
711,I need a bonafide certificate.,Hostel Office,22,Medium
4104,My exam form is not submitted and tomorrow is the last date.,Examination Cell,13,High
1581,My admit card has incorrect details.,Finance Office,53,High
1311,LMS is not allowing assignment upload.,Finance Office,55,Medium
626,How to reset my university portal password?,Academic Office,38,Medium
24,I have not received my scholarship amount.,Administration,18,High
2532,How to reset my university portal password?,Administration,11,Medium
1871,How to reset my university portal password?,Administration,57,Medium
5111,When will the library issue new ID cards?,IT Support,58,Low
